"Time","Patch","Age","myID","momID","dadID"
164,1,4,4012343,3764517,3606562
164,1,2,4062456,3067359,2760661
164,1,3,4038494,3226552,3197806
164,1,3,4038379,3305827,2436958
164,1,3,4038840,3137478,2797013
165,1,3,4069943,3747180,3609085
165,1,2,4087444,3643981,3541963
165,1,2,4082135,3570290,3510793
165,1,3,4074918,3865455,3809298
165,1,5,4020366,3605898,3152552
165,1,3,4060058,3571399,3402250
165,1,2,4097357,3340854,3241215
165,1,4,4045702,3556659,2894949
165,1,2,4099430,3673917,3586048
165,1,4,4044093,3770695,3667695
165,1,2,4097432,3540399,3480443
165,1,2,4092241,3672622,3452121
165,1,3,4072347,3779360,3725347
165,1,3,4063218,3830936,3725001
166,1,4,4068778,3801443,3772387
166,1,2,4120160,3583811,3216373
166,1,2,4127872,3930512,3760085
166,1,3,4084014,3355604,3127372
166,1,4,4066819,3820787,3504069
166,1,4,4065920,3357749,2540066
166,1,2,4104943,3892537,3721138
166,1,3,4084244,3842095,3373443
166,1,3,4089171,3748901,3644857
166,1,2,4126771,3936965,3924591
166,1,2,4108354,3635520,3613367
